  ,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
  | id            | tipo           | clas             | read_only | ctx | nome / simbolos                                                                                         |
  |               |                |                  |           |     |               1 - K_REG_IESC                                                                            |
  |               |                |                  |           |     |               2 - K_REG_IURG                                                                            |
  |               |                |                  |           |     |               3 - K_REG_IADV                                                                            |
  |               |                |                  |           |     |               4 - K_REG_NORM                                                                            |
  |               |                |                  |           |     |               5 - K_REG_SADV                                                                            |
  |               |                |                  |           |     |               6 - K_REG_SURG                                                                            |
  |               |                |                  |           |     |               7 - K_REG_SESC                                                                            |
  | rgalrest      | unsigned char  | SAR_ClasEstmon   |           |     | Regiao corrente para valor estimado                                                                     |
  |               |                |                  |           |     |               0 - K_REG_NLRG                                                                            |
  |               |                |                  |           |     |               1 - K_REG_IESC                                                                            |
  |               |                |                  |           |     |               2 - K_REG_IURG                                                                            |
  |               |                |                  |           |     |               3 - K_REG_IADV                                                                            |
  |               |                |                  |           |     |               4 - K_REG_NORM                                                                            |
  |               |                |                  |           |     |               5 - K_REG_SADV                                                                            |
  |               |                |                  |           |     |               6 - K_REG_SURG                                                                            |
  |               |                |                  |           |     |               7 - K_REG_SESC                                                                            |
  | rgalrotm      | unsigned char  | SAR_ClasContem   |           |     | Regiao corrente de alarme para valor otimizado                                                          |
  |               |                |                  |           |     |               0 - K_REG_NLRG                                                                            |
  |               |                |                  |           |     |               1 - K_REG_IESC                                                                            |
  |               |                |                  |           |     |               2 - K_REG_IURG                                                                            |
  |               |                |                  |           |     |               3 - K_REG_IADV                                                                            |
  |               |                |                  |           |     |               4 - K_REG_NORM                                                                            |
  |               |                |                  |           |     |               5 - K_REG_SADV                                                                            |
  |               |                |                  |           |     |               6 - K_REG_SURG                                                                            |
  |               |                |                  |           |     |               7 - K_REG_SESC                                                                            |
  | step          | char           | STI_ClasHist     | sim       |     | Indicador de modo de interpolacao do valores no banco PI                                                |
  | subauto       | char           | SAR_ClasEstmon   |           |     | Indicador para substituicao automatica do ponto analogico                                               |
  | subtipo1      | char           | STI_ClasCadastro | sim       |     | Subtipo nivel 1 de grandeza analogica                                                                   |
  |               |                |                  |           |     |               1 - K_GRANDANA_CP                                                                         |
  |               |                |                  |           |     |               2 - K_GRANDANA_II                                                                         |
  |               |                |                  |           |     |               3 - K_GRANDANA_RGIR                                                                       |
  |               |                |                  |           |     |               4 - K_GRANDANA_GD                                                                         |
  |               |                |                  |           |     |               5 - K_GRANDANA_RREG                                                                       |
  |               |                |                  |           |     |               6 - K_GRANDANA_GE                                                                         |
  |               |                |                  |           |     |               8 - K_GRANDANA_GMA                                                                        |
  |               |                |                  |           |     |               9 - K_GRANDANA_GMI                                                                        |
  |               |                |                  |           |     |              10 - K_GRANDANA_ILP                                                                        |
  |               |                |                  |           |     |              11 - K_GRANDANA_ILR                                                                        |
  |               |                |                  |           |     |              12 - K_GRANDANA_GSCD                                                                       |
  |               |                |                  |           |     |              13 - K_GRANDANA_DSCD                                                                       |
  |               |                |                  |           |     |              14 - K_GRANDANA_CSCD                                                                       |
  |               |                |                  |           |     |              15 - K_GRANDANA_NIJUZ                                                                      |
  |               |                |                  |           |     |              16 - K_GRANDANA_NIMON                                                                      |
  |               |                |                  |           |     |              17 - K_GRANDANA_LIMOFF                                                                     |
  |               |                |                  |           |     |              18 - K_GRANDANA_GDS                                                                        |
  | term          | char           | SAR_ClasCad      | sim       |     | Indicador do lado da medida associada ao circuito                                                       |
  |               |                |                  |           |     |               0 - K_LADO_NLADO                                                                          |
  |               |                |                  |           |     |               1 - K_LADO_DE                                                                             |
  |               |                |                  |           |     |               2 - K_LADO_PARA                                                                           |
  |               |                |                  |           |     |               3 - K_LADO_PRI                                                                            |
  |               |                |                  |           |     |               4 - K_LADO_SEC                                                                            |
  |               |                |                  |           |     |               5 - K_LADO_TER                                                                            |
  | tipoe         | char           | SCD_ClasSac      | sim       |     | Tipo de grandeza                                                                                        |
